10:90992500:91175000	10:91180000:91545000
10:91180000:91545000	10:91550000:92620000
10:91550000:92620000	10:92625000:93052500
10:92625000:93052500	10:93057500:93507500
10:93057500:93507500	10:93532500:93702500
10:93532500:93702500	10:93785000:94275625
10:93785000:94275625	10:94637500:94837500
10:94637500:94837500	10:95468750:96382500
10:95468750:96382500	10:97127500:97417500
10:97127500:97417500	10:97422500:97652500
10:97422500:97652500	10:97757500:98112500
10:97757500:98112500	10:98597500:99135000
10:98597500:99135000	10:99875000:100090000
10:99875000:100090000	10:100490000:101137500
10:100490000:101137500	10:101142500:101505000
10:101142500:101505000	10:102038125:102302500
10:102038125:102302500	10:102307500:102776875
10:102307500:102776875	10:103342500:103560000
10:103342500:103560000	10:103565000:103882500
10:103565000:103882500	10:103892500:104412500
10:103892500:104412500	10:104417500:105122500
10:104417500:105122500	10:105450000:105630000
10:105450000:105630000	10:105635000:106040000
10:105635000:106040000	10:106045000:106120000
10:106045000:106120000	10:106822500:107595000
10:106822500:107595000	10:108342500:109032500
10:108342500:109032500	10:109115625:109872500
10:109115625:109872500	10:110557500:111617500
10:110557500:111617500	10:111622500:112062500
10:111622500:112062500	10:112067500:112373750
10:112067500:112373750	10:112381250:112835000
10:112381250:112835000	10:113367500:113867500
10:113367500:113867500	10:116232500:116582500
10:116232500:116582500	10:116620000:116925000
10:116620000:116925000	10:117387500:118295000
10:117387500:118295000	10:118950000:119235000
10:118950000:119235000	10:120907500:121290000
10:120907500:121290000	10:121400000:121682500
10:121400000:121682500	10:121687500:122117500
10:121687500:122117500	10:122130000:122637500
10:122130000:122637500	10:122682500:123736250
10:122682500:123736250	10:123995000:124327500
10:123995000:124327500	10:125903750:126090000
10:125903750:126090000	10:126200000:126507500
10:126200000:126507500	10:127407500:127537500
10:127407500:127537500	10:127612500:128366250
10:127612500:128366250	10:128765625:129485000
10:128765625:129485000	10:130002500:130722500
10:130002500:130722500	11:1085625:1611875
11:1085625:1611875	11:2952500:3292500
11:2952500:3292500	11:3337500:3425000
11:3337500:3425000	11:3491250:3807500
11:3491250:3807500	11:3825000:4160000
11:3825000:4160000	11:5075000:5477500
11:5075000:5477500	11:5957500:6130000
11:5957500:6130000	11:6197500:6377500
11:6197500:6377500	11:8642500:8900000
11:8642500:8900000	11:9217500:9542500
11:9217500:9542500	11:9630000:9782500
11:9630000:9782500	11:10392500:10767500
11:10392500:10767500	11:10772500:10952500
11:10772500:10952500	11:11052500:11807500
11:11052500:11807500	11:11820000:12062500
11:11820000:12062500	11:12067500:12327500
11:12067500:12327500	11:12332500:12967500
11:12332500:12967500	11:13782500:14297500
11:13782500:14297500	11:14535000:14942500
11:14535000:14942500	11:15832500:16177500
11:15832500:16177500	11:16182500:16755000
11:16182500:16755000	11:16785000:17097500
11:16785000:17097500	11:17102500:17230000
11:17102500:17230000	11:17235000:17402500
11:17235000:17402500	11:17407500:17580000
11:17407500:17580000	11:17585000:18017500
11:17585000:18017500	11:18246250:18840000
11:18246250:18840000	11:18877500:19275000
11:18877500:19275000	11:19285000:19577500
11:19285000:19577500	11:19582500:19927500
11:19582500:19927500	11:19945000:20157500
11:19945000:20157500	11:20220000:20385000
11:20220000:20385000	11:20390000:20660000
11:20390000:20660000	11:20750000:22181250
11:20750000:22181250	11:22317500:22895000
11:22317500:22895000	11:26315000:26621875
11:26315000:26621875	11:26690000:27187500
11:26690000:27187500	11:27192500:27567500
11:27192500:27567500	11:27652500:28770000
11:27652500:28770000	11:29396250:30222500
11:29396250:30222500	11:30252500:31085000
11:30252500:31085000	11:31130000:32285000
11:31130000:32285000	11:32317500:32792500
11:32317500:32792500	11:32825000:33132500
11:32825000:33132500	11:33362500:33755000
11:33362500:33755000	11:33802500:34020000
11:33802500:34020000	11:34145000:34532500
11:34145000:34532500	11:34537500:34930000
11:34537500:34930000	11:34935000:35517500
11:34935000:35517500	11:35587500:36307500
11:35587500:36307500	11:36845000:37488750
11:36845000:37488750	11:37930000:38877500
11:37930000:38877500	11:41480000:42512500
11:41480000:42512500	11:42735000:43312500
11:42735000:43312500	11:43317500:43522500
11:43317500:43522500	11:43585000:43905000
11:43585000:43905000	11:44102500:44290000
11:44102500:44290000	11:44642500:44942500
11:44642500:44942500	11:44947500:45117500
11:44947500:45117500	11:45122500:45377500
11:45122500:45377500	11:45400000:45825000
11:45400000:45825000	11:45835000:46247500
11:45835000:46247500	11:46387500:46699375
11:46387500:46699375	11:46705000:46855000
11:46705000:46855000	11:46867500:47198750
11:46867500:47198750	11:47892500:48195000
11:47892500:48195000	11:51083750:52385000
11:51083750:52385000	11:53985000:55452500
11:53985000:55452500	11:55535000:56580000
11:55535000:56580000	11:57077500:57207500
11:57077500:57207500	11:57637500:58302500
11:57637500:58302500	11:58350000:58722500
11:58350000:58722500	11:59277500:59457500
11:59277500:59457500	11:59570000:60090000
11:59570000:60090000	11:60122500:60525000
11:60122500:60525000	11:60530000:60982500
11:60530000:60982500	11:61902500:62123125
11:61902500:62123125	11:62134375:62342500
11:62134375:62342500	11:62347500:62657500
11:62347500:62657500	11:63232500:63425000
11:63232500:63425000	11:63557500:63741250
11:63557500:63741250	11:63760000:63952500
11:63760000:63952500	11:64130000:64547500
11:64130000:64547500	11:64552500:65130000
11:64552500:65130000	11:65152500:65297500
11:65152500:65297500	11:65416875:65772500
11:65416875:65772500	11:65788125:66042500
11:65788125:66042500	11:66132500:66457500
11:66132500:66457500	11:66625000:66831250
11:66625000:66831250	11:66847500:67230000
11:66847500:67230000	11:67712500:67987500
11:67712500:67987500	11:68175000:68363750
11:68175000:68363750	11:68867500:69506250
11:68867500:69506250	11:69706250:70055625
11:69706250:70055625	11:70070625:70280000
11:70070625:70280000	11:70292500:71374375
11:70292500:71374375	11:71506250:71924375
11:71506250:71924375	11:71933125:72170000
11:71933125:72170000	11:72175000:72295000
11:72175000:72295000	11:72407500:72957500
11:72407500:72957500	11:73102500:73422500
11:73102500:73422500	11:73652500:73940000
11:73652500:73940000	11:73945000:74337500
11:73945000:74337500	11:74360000:74616875
11:74360000:74616875	11:74630000:74982500
11:74630000:74982500	11:75100000:75252500
11:75100000:75252500	11:75257500:75445000
11:75257500:75445000	11:75592500:75917500
11:75592500:75917500	11:76470000:76818750
11:76470000:76818750	11:78312500:78842500
11:78312500:78842500	11:81314375:82400000
11:81314375:82400000	11:82412500:83007500
11:82412500:83007500	11:83012500:83537500
11:83012500:83537500	11:83542500:84150000
11:83542500:84150000	11:84477500:85275000
11:84477500:85275000	11:86140000:86567500
11:86140000:86567500	11:86605000:87050000
11:86605000:87050000	11:87662500:88812500
11:87662500:88812500	11:88848125:89560000
11:88848125:89560000	11:89750000:91027500
11:89750000:91027500	11:91152500:92660000
11:91152500:92660000	11:93392500:93553125
11:93392500:93553125	11:94327500:94682500
11:94327500:94682500	11:94877500:95547500
11:94877500:95547500	11:96187500:97132500
11:96187500:97132500	11:97337500:98327500
11:97337500:98327500	11:98340000:98922500
11:98340000:98922500	11:98927500:99632500
11:98927500:99632500	11:99637500:100395000
11:99637500:100395000	11:100400000:100997500
11:100400000:100997500	11:101302500:101935000
11:101302500:101935000	11:102120000:102577500
11:102120000:102577500	11:102582500:102887500
11:102582500:102887500	11:102937500:103532500
11:102937500:103532500	11:103537500:104032500
11:103537500:104032500	11:104092500:104435000
11:104092500:104435000	11:104465000:104775000
11:104465000:104775000	11:105805000:105972500
11:105805000:105972500	11:106071875:107155000
11:106071875:107155000	11:107360000:107786250
11:107360000:107786250	11:107818750:108220000
11:107818750:108220000	11:108554375:108837500
11:108554375:108837500	11:108847500:109650625
11:108847500:109650625	11:110025000:110312500
11:110025000:110312500	11:110317500:111275000
11:110317500:111275000	11:111380000:111747500
11:111380000:111747500	11:111752500:111962500
11:111752500:111962500	11:112450000:113175000
11:112450000:113175000	11:113180000:113670000
11:113180000:113670000	11:113722500:114165000
11:113722500:114165000	11:114170000:114503750
11:114170000:114503750	11:116587500:117185000
11:116587500:117185000	11:117662500:118030000
11:117662500:118030000	11:118035000:118217500
11:118035000:118217500	11:118222500:118541875
11:118222500:118541875	11:118642500:118888750
11:118642500:118888750	11:119262500:120105000
11:119262500:120105000	11:120165000:120370000
11:120165000:120370000	11:120375000:120822500
11:120375000:120822500	11:121087500:121507500
11:121087500:121507500	11:121512500:122047500
11:121512500:122047500	11:122077500:122447500
11:122077500:122447500	11:122452500:122944375
11:122452500:122944375	11:122953125:123160000
