11:77661250:78310000	11:78315000:78880625
11:78315000:78880625	11:81296250:82135000
11:81296250:82135000	11:82177500:82490000
11:82177500:82490000	11:82502500:83042500
11:82502500:83042500	11:84517500:85262500
11:84517500:85262500	11:86152500:86572500
11:86152500:86572500	11:86577500:87052500
11:86577500:87052500	11:87057500:87192500
11:87057500:87192500	11:89750000:91025000
11:89750000:91025000	11:91177500:92372500
11:91177500:92372500	11:92802500:93578125
11:92802500:93578125	11:94725000:95522500
11:94725000:95522500	11:95550000:96247500
11:95550000:96247500	11:100380000:101175000
11:100380000:101175000	11:103497500:104410000
11:103497500:104410000	11:106174375:107171875
11:106174375:107171875	11:107187500:107632500
11:107187500:107632500	11:107800000:108257500
11:107800000:108257500	11:108267500:108542500
11:108267500:108542500	11:108549375:108997500
11:108549375:108997500	11:109775000:110050000
11:109775000:110050000	11:110055000:110317500
11:110055000:110317500	11:110322500:111375000
11:110322500:111375000	11:111380000:111747500
11:111380000:111747500	11:111962500:112062500
11:111962500:112062500	11:112295000:113542500
11:112295000:113542500	11:113713750:114187500
11:113713750:114187500	11:116580000:117127500
11:116580000:117127500	11:117647500:118017500
11:117647500:118017500	11:118030000:118227500
11:118030000:118227500	11:118232500:118526875
11:118232500:118526875	11:118540625:118909375
11:118540625:118909375	11:118928125:119237500
11:118928125:119237500	11:119262500:119507500
11:119262500:119507500	11:119617500:119987500
11:119617500:119987500	11:120012500:120833125
11:120012500:120833125	11:121087500:121517500
11:121087500:121517500	11:121522500:122072500
11:121522500:122072500	11:122077500:122442500
11:122077500:122442500	11:124497500:124737500
11:124497500:124737500	11:124742500:125112500
11:124742500:125112500	11:126392500:126910000
11:126392500:126910000	11:126942500:127765000
11:126942500:127765000	11:127850000:128862500
11:127850000:128862500	11:128927500:129335000
11:128927500:129335000	11:129610000:130195000
11:129610000:130195000	11:130285000:130817500
11:130285000:130817500	11:130822500:131437500
11:130822500:131437500	11:131552500:132175000
11:131552500:132175000	11:132922500:133797500
11:132922500:133797500	12:315000:997500
12:315000:997500	12:1197500:1727500
12:1197500:1727500	12:1737500:1907500
12:1737500:1907500	12:1912500:2112500
12:1912500:2112500	12:2147500:3081250
12:2147500:3081250	12:3353750:3700000
12:3353750:3700000	12:3705000:3940000
12:3705000:3940000	12:3945000:4441250
12:3945000:4441250	12:4460000:4823125
12:4460000:4823125	12:5240000:6052500
12:5240000:6052500	12:6147500:6417500
12:6147500:6417500	12:6703750:6975000
12:6703750:6975000	12:6980000:7280000
12:6980000:7280000	12:7285000:7998750
12:7285000:7998750	12:8420625:8782500
12:8420625:8782500	12:9651875:10377500
12:9651875:10377500	12:10382500:10915000
12:10382500:10915000	12:10920000:11630000
12:10920000:11630000	12:12495000:12937500
12:12495000:12937500	12:12950000:13447500
12:12950000:13447500	12:14332500:14867500
12:14332500:14867500	12:14912500:15185000
12:14912500:15185000	12:15420000:15662500
12:15420000:15662500	12:15710000:16102500
12:15710000:16102500	12:16127500:16567500
12:16127500:16567500	12:18215000:18725000
12:18215000:18725000	12:18932500:19550000
12:18932500:19550000	12:19780000:20955625
12:19780000:20955625	12:21572500:21842500
12:21572500:21842500	12:21847500:22170000
12:21847500:22170000	12:22183750:22627500
12:22183750:22627500	12:22632500:22827500
12:22632500:22827500	12:23345000:23992500
12:23345000:23992500	12:24305000:25082500
12:24305000:25082500	12:25135000:25335000
12:25135000:25335000	12:25375000:25568750
12:25375000:25568750	12:25576250:26117500
12:25576250:26117500	12:26147500:26572500
12:26147500:26572500	12:27167500:27572500
12:27167500:27572500	12:27577500:27872500
12:27577500:27872500	12:30031875:30767500
12:30031875:30767500	12:30780000:31227500
12:30780000:31227500	12:32507500:32902500
12:32507500:32902500	12:32907500:33085000
12:32907500:33085000	12:38399375:39688750
12:38399375:39688750	12:40485000:40637500
12:40485000:40637500	12:40642500:40831875
12:40642500:40831875	12:41472500:42489375
12:41472500:42489375	12:42505000:42825000
12:42505000:42825000	12:43105000:44112500
12:43105000:44112500	12:44117500:44330000
12:44117500:44330000	12:45467500:45835000
12:45467500:45835000	12:45857500:46392500
12:45857500:46392500	12:47420000:48040000
12:47420000:48040000	12:48362500:48572500
12:48362500:48572500	12:48577500:49125000
12:48577500:49125000	12:49687500:49985000
12:49687500:49985000	12:50297500:50477500
12:50297500:50477500	12:51563750:51793750
12:51563750:51793750	12:52507500:52732500
