CRYBA4	UMLS:C1864878	1	202
CRYBA4	UMLS:C1864879	1	203
CRYBB3	UMLS:C1857853	1	204
CRYGD	UMLS:C1861832	1	205
CSF2RA	UMLS:C2677877	1	206
CSF3R	UMLS:C0543669	1	207
PRICKLE1	UMLS:C2676254	1	208
RDH12	UMLS:C2675186	1	209
CCBE1	UMLS:C0340834	1	210
APCDD1	UMLS:C1854310	1	211
CSTB	UMLS:C0751785	1	212
SIX5	UMLS:C1970479	1	213
NKX2-5	UMLS:C0039685	1	214
NKX2-5	UMLS:C2673630	1	215
NKX2-5	UMLS:C3276096	1	216
HFE2	UMLS:C1865614	1	217
CLDN19	UMLS:C1855466	1	218
CTNS	UMLS:C0268626	1	219
CTNS	UMLS:C2931013	1	220
CTNNB1	UMLS:C0025149	1	221
CTNNB1	UMLS:C0206711	1	222
CTSD	UMLS:C1864669	1	223
CTSK	UMLS:C0238402	1	224
SLC36A2	UMLS:C0268654	1	225
SLC36A2	UMLS:C0543541	1	226
CYBA	UMLS:C1856255	1	227
CYBB	UMLS:C1844376	1	228
CYLD	UMLS:C1275122	1	229
CYP1B1	UMLS:C0339573	1	230
CYP1B1	UMLS:C1842028	1	231
CYP1B1	UMLS:C1856439	1	232
KCTD7	UMLS:C2673257	1	233
ESCO2	UMLS:C0392475	1	234
VPS13B	UMLS:C0265223	1	235
ADSL	UMLS:C0268126	1	236
FREM1	UMLS:C1855425	1	237
FREM1	UMLS:C2750433	1	238
CYP11B1	UMLS:C0268292	1	239
CYP11B2	UMLS:C0268293	1	240
CYP17A1	UMLS:C0268285	1	241
CYP19A1	UMLS:C1970109	1	242
CYP21A2	UMLS:C2936858	1	243
CYP27A1	UMLS:C0238052	1	244
CYP27B1	UMLS:C0268689	1	245
AARS	UMLS:C2750090	1	246
SPRED1	UMLS:C1969623	1	247
DBH	UMLS:C0342687	1	248
NAGS	UMLS:C0268543	1	249
DBT	UMLS:C0024776	1	250
ACE	UMLS:C0002395	1	251
ACE	UMLS:C0020538	1	252
ACE	UMLS:C0027051	1	253
DCTN1	UMLS:C1843315	1	254
DCTN1	UMLS:C1868594	1	255
DCX	UMLS:C1848199	1	256
DDB2	UMLS:C1848411	1	257
TMPRSS6	UMLS:C0085576	1	258
DDX11	UMLS:C3150658	1	259
BBS12	UMLS:C0752166	1	260
MMAA	UMLS:C1855109	1	261
DES	UMLS:C1832370	1	262
DES	UMLS:C1858154	1	263
DES	UMLS:C1867005	1	264
TIMM8A	UMLS:C0796074	1	265
COCH	UMLS:C1832425	1	266
KCNV2	UMLS:C1835897	1	267
ARX	UMLS:C0796124	1	268
ARX	UMLS:C0796244	1	269
ARX	UMLS:C1846171	1	270
ARX	UMLS:C3463992	1	271
DGUOK	UMLS:C3151513	1	272
DHCR7	UMLS:C0175694	1	273
DHCR24	UMLS:C1865596	1	274
CYB5R3	UMLS:C0268193	1	275
DKC1	UMLS:C1846142	1	276
AGA	UMLS:C0268225	1	277
DMD	UMLS:C0013264	1	278
